Date;Open;High;Low;Close
2018.11.26;14138.46;14191.53;14025.38;14178.53
2018.11.22;14206.03;14231.23;14066.54;14079.47
2018.11.21;14236.56;14243.53;14111.37;14173.59
2018.11.20;14336.47;14336.47;14191.25;14208.30
2018.11.19;14310.33;14360.89;14268.24;14346.06
2018.11.16;14233.47;14286.40;14193.66;14249.66
2018.11.15;14146.51;14223.69;14105.31;14193.11
2018.11.14;14207.59;14240.13;14094.43;14143.55
2018.11.13;14053.65;14159.53;13978.07;14146.17
2018.11.12;14228.01;14254.46;14024.21;14042.74
2018.11.09;14189.02;14217.42;14105.17;14185.40
2018.11.07;14141.26;14181.64;14078.21;14170.58
2018.11.06;14122.96;14170.56;14024.70;14062.78
2018.11.05;14152.91;14153.29;14033.23;14081.57
2018.11.02;14029.49;14201.63;14020.46;14112.76
2018.11.01;13954.24;13965.75;13874.76;13915.75
2018.10.31;13681.29;13889.64;13549.92;13881.71
2018.10.30;13683.15;13730.82;13608.71;13647.10
2018.10.29;13432.52;13676.40;13352.64;13655.89
2018.10.26;13472.75;13475.35;13287.30;13352.53
2018.10.25;13488.59;13488.59;13380.78;13443.57
2018.10.24;13590.37;13643.49;13450.80;13578.40
2018.10.23;13536.11;13581.00;13408.94;13470.50
2018.10.22;13823.65;13839.84;13584.81;13602.86
2018.10.19;13824.24;13831.52;13641.78;13704.74
2018.10.17;14243.51;14273.55;13872.58;13887.26
2018.10.16;14037.14;14129.10;14008.07;14111.63
2018.10.15;14010.27;14017.91;13859.58;13978.45
2018.10.12;13704.95;13937.41;13703.34;13906.10
2018.10.11;13611.00;13737.05;13453.81;13596.82
2018.10.10;13661.85;13904.65;13625.92;13882.35
2018.10.09;13709.39;13724.92;13519.93;13585.36
2018.10.08;13696.84;13759.38;13463.28;13652.67
2018.10.05;14005.34;14005.34;13620.15;13689.97
2018.10.04;14291.87;14291.87;13987.93;14047.35
2018.10.03;14562.28;14562.28;14339.33;14365.43
2018.10.01;14457.23;14564.81;14259.64;14533.55
2018.09.28;14641.96;14666.32;14337.77;14445.89
2018.09.27;14789.78;14795.44;14572.23;14590.83
2018.09.26;14855.70;14863.22;14681.22;14745.99
2018.09.25;14666.91;14775.95;14509.70;14751.49
2018.09.24;14987.40;14995.04;14632.23;14654.49
2018.09.21;15204.57;15274.97;14473.96;14945.39
2018.09.19;15276.40;15303.42;15099.42;15139.04
2018.09.18;15399.64;15430.91;15202.06;15218.00
2018.09.17;15509.12;15509.12;15363.70;15376.69
2018.09.14;15404.43;15536.47;15404.23;15528.44
2018.09.12;15272.84;15336.20;15154.83;15325.85
2018.09.11;15494.69;15504.19;15216.13;15234.39
2018.09.10;15658.34;15661.05;15437.94;15451.73
2018.09.07;15595.85;15674.69;15512.36;15659.97
2018.09.06;15547.81;15590.96;15439.32;15563.12
2018.09.05;15557.96;15571.04;15352.69;15485.85
2018.09.04;15783.53;15799.42;15518.86;15548.65
2018.09.03;15933.48;15937.92;15720.59;15737.53
